n,t_n,nearest_minimum_t,delta_n,delta_n_null
490,798.707570,799.424000,0.716430,0.433654
491,799.654336,799.424000,0.230336,0.437563
492,801.604246,801.560000,0.044246,0.433926
493,802.541985,802.256000,0.285985,0.417347
494,803.243096,802.840000,0.403096,0.425905
495,804.762239,805.016000,0.253761,0.433662
496,805.861636,805.896000,0.034364,0.406249
497,808.151815,807.720000,0.431815,0.443888
498,809.197783,808.880000,0.317783,0.442644
499,810.081805,810.520000,0.438195,0.424256
500,811.184359,811.352000,0.167641,0.423144
501,812.771108,812.808000,0.036892,0.440082
502,814.045914,814.120000,0.074086,0.441431
503,814.870540,814.640000,0.230540,0.422582
504,816.727738,816.816000,0.088262,0.470444
505,818.380669,818.712000,0.331331,0.440577
506,819.204642,818.712000,0.492642,0.432613
507,820.721898,820.480000,0.241898,0.430286
508,821.713454,821.632000,0.081454,0.437380
509,822.197757,822.144000,0.053757,0.433760
510,824.526294,824.688000,0.161706,0.415090
511,826.039287,826.256000,0.216713,0.415412
512,826.905811,826.840000,0.065811,0.399053
513,828.340174,828.624000,0.283826,0.417559
514,829.437011,829.152000,0.285011,0.427434
515,830.895884,830.584000,0.311884,0.438159
516,831.799778,831.840000,0.040222,0.430948
517,833.003641,832.320000,0.683641,0.453117
518,834.651915,835.112000,0.460085,0.418397
519,836.693576,836.352000,0.341576,0.450737
520,837.347335,838.040000,0.692665,0.442056
521,838.249022,838.040000,0.209022,0.443757
522,839.465395,840.040000,0.574605,0.440495
523,841.036390,840.888000,0.148390,0.427851
524,842.041354,842.696000,0.654646,0.442439
525,844.166197,844.312000,0.145803,0.428256
526,844.805994,845.296000,0.490006,0.417466
527,846.194770,846.144000,0.050770,0.414171
528,847.971718,847.696000,0.275718,0.450961
529,848.489281,848.848000,0.358719,0.466526
530,849.862274,849.472000,0.390274,0.450367
531,850.645448,850.832000,0.186552,0.417976
532,853.163113,853.136000,0.027113,0.438715
533,854.095512,854.248000,0.152488,0.446130
534,855.286710,854.248000,1.038710,0.434622
535,856.484117,856.656000,0.171883,0.406801
536,857.310741,857.680000,0.369259,0.432995
537,858.904026,858.688000,0.216026,0.455389
538,860.410671,861.304000,0.893329,0.459266
539,861.171098,861.304000,0.132902,0.447021
